author,year,title,journal,FCmethod,woodSp,woodTraits,otherPredictors,effect_woodSp,signif_woodTraits,signif_otherPredictors,notes
Boddy and Rayner,1981,Fungal communities and formation of heart-wood wings in attached oak branches undergoing decay,Ann. Bot,culturing techniques,Quercus robur,NA,NA,NA,NA,NA,focus on fungi on attached branches
Fukasawa,2009,Effects of attack of saprobic fungi on twig litter decomposition by endophytic fungi ,Ecol Res,culturing techniques,Fagus crenata ,NA,assembly history,NA,NA,assembly history,lab experiment
Boddy,1989,Small-scale variation in decay rate within logs one year after felling: effect of fungal community structure and moisture content,FEMS Microbiology Ecology,culturing techniques,Fagus sylvatica,water content,NA,NA,water content,NA,relationship between instantaneous decay rate and fungal species cultured
Chapela and Boddy,1988,The fate of early fungal colonizers in beech branches decomposing on the forest floor,FEMS Microbiology Ecology,culturing techniques,Fagus sylvatica,"water content, density",decay stage,NA,NA,decay stage,
Chapela and Boddy,1988,"Fungal colonization of attached beech branches. II. Spatial and temporal organization of communities arising from latent invaders in bark and functional sapwood, under different moisture regimes",New Phytologist,culturing techniques,Fagus sylvatica ,water content,position within wood,NA,water content,position within wood,
Boddy,1987,Fungal communities in attached ash branches,New Phytologist,culturing techniques,Fraxinus excelsior,density,decay stage,NA,density,decay stage,a number of species combinations exhibited differences in relative combative ability under various abiotic regimes in culture
Griffith,1990,"Fungal decomposition of attached angiosperm twigs IIL Effect of water potential and temperature on fungal growth, survival and decay of wood",New Phytologist,culturing techniques,"Fraxinus excelsior, Quercus robur, Fagus sylvatica",water content,"assembly history, time",yes,not analyzed,"assembly history, time",
Chapela,1989,Fungi in healthy stems and branches of American beech and aspen: a comparative study,New Phytologist,culturing techniques,"Fagus grandifolia, Populus tremuloides",water content,drying rate,yes,water content,drying rate,
Hendry,1993,"Interactions between callus cultures of European beech, indigenous ascomycetes and derived fungal extracts",New Phytologist,culturing techniques,Fagus sylvatica,NA,NA,NA,NA,NA,lab experiment; evaluate effects of fungi on plant cells and plants on fungi
van der Wal,2015,Neglected role of fungal community composition in explaining variation in wood decay rates,Ecology,high-throughput sequencing,Quercus robur,water content,"stump age, log diameter",NA,none,stump age,
van der Wal,2016,Patterns of natural fungal community assembly during initial decay of coniferous and broadleaf tree logs,Ecosphere,high-throughput sequencing,"Larix kaempferi, Quercus rubra","density, water content","log diameter, ratio between width of heartwood and sapwood, distance to soil, distance between wood samples",yes,none,distance to soil,
Kubartova,2015,Linking fungal communities to wood density loss after 12 years of log decay,FEMS Microbiology Ecology,high-throughput sequencing,Picea abies,"density, water content",position within wood,NA,"density, water content",position within wood,
Song,2016,Fungal endophytes as priority colonizers initiating wood decomposition,Functional Ecology,high-throughput sequencing,Betula papyrifera,"cellulose, hemicellulose, lignin, pH, ","external inoculum, temperature, presence of endophytes, decay stage",NA,not analyzed,"decay stage, temperature, external inoculum",microcosm study
Hoppe,2016,Linking molecular deadwood-inhabiting fungal diversity and community dynamics to ecosystem functions and processes in Central European forests,Fungal Diversity,high-throughput sequencing,"Picea abies, Fagus sylvatica","C, N, lignin, pH, Mg, K, Ca, Fe, Cu, Mn, Zn, Ni, water content, density","decay stage, remaining mass",yes,"water content, density, lignin, C, N, Mg","decay stage, remaining mass",
Fukasawa,2015,Communities of wood-inhabiting fungi in dead pine logs along a geographical gradient in Japan,Fungal Ecology,high-throughput sequencing,Pinus densiflora,NA,"log diameter, temperature, precipitation",NA,NA,"temperature, precipitation",
Parfitt,2010,Do all trees carry the seeds of their own destruction? PCR reveals numerous wood decay fungi latently present in sapwood of a wide range of angiosperm trees,Fungal Ecology,high-throughput sequencing,many,NA,NA,yes,NA,NA,
